300,186,0.8625,300 300 300,0.920018387
500,186,0.87375,300 300 300,0.877417805
700,186,0.86125,300 300 300,1.179243722
300,186,0.865,300 300 400,1.167125854
500,186,0.88125,300 300 400,1.23265619
700,186,0.86125,300 300 400,1.294558212
300,186,0.88625,300 300 500,0.845058923
500,186,0.87,300 300 500,1.13683653
700,186,0.865,300 300 500,1.195281477
300,186,0.8875,300 300 600,1.009888605
500,186,0.8925,300 300 600,0.856652564
700,186,0.86,300 300 600,1.214504678
300,186,0.88,300 400 300,0.707752677
500,186,0.88375,300 400 300,0.82541287
700,186,0.8775,300 400 300,1.140411676
300,186,0.87625,300 400 400,0.799745434
500,186,0.8775,300 400 400,0.868759539
700,186,0.88875,300 400 400,1.126115065
300,186,0.88875,300 400 500,0.782809067
500,186,0.86875,300 400 500,0.916922884
700,186,0.88125,300 400 500,0.96460373
300,186,0.89625,300 400 600,0.973281051
500,186,0.8675,300 400 600,1.000075936
700,186,0.86875,300 400 600,1.197721729
300,186,0.86875,300 500 300,1.056469133
500,186,0.8775,300 500 300,1.043355631
700,186,0.8625,300 500 300,1.280748959
300,186,0.87375,300 500 400,0.901045662
500,186,0.86875,300 500 400,0.994932845
700,186,0.875,300 500 400,0.783454868
300,186,0.87375,300 500 500,0.824256819
500,186,0.86,300 500 500,1.209084942
700,186,0.8825,300 500 500,0.810195841
300,186,0.86625,300 500 600,0.563415039
500,186,0.87,300 500 600,1.22076978
700,186,0.8725,300 500 600,1.302207835
300,186,0.87375,300 600 300,0.91583057
500,186,0.8675,300 600 300,1.12199483
700,186,0.88,300 600 300,1.086610491
300,186,0.8525,300 600 400,0.837176769
500,186,0.865,300 600 400,0.913749938
700,186,0.9025,300 600 400,0.632604193
300,186,0.88875,300 600 500,0.952864611
500,186,0.87375,300 600 500,1.267314699
700,186,0.9,300 600 500,0.865196515
300,186,0.8675,300 600 600,1.120286751
500,186,0.86625,300 600 600,0.994204206
700,186,0.885,300 600 600,1.256602547
300,186,0.88375,400 300 300,1.001062059
500,186,0.85625,400 300 300,1.028664978
700,186,0.8575,400 300 300,1.116076322
300,186,0.86875,400 300 400,0.951000586
500,186,0.90375,400 300 400,0.928286624
700,186,0.88125,400 300 400,1.224577973
300,186,0.86875,400 300 500,1.138404021
500,186,0.86125,400 300 500,1.147045751
700,186,0.88875,400 300 500,0.776545622
300,186,0.8625,400 300 600,1.227499417
500,186,0.87375,400 300 600,1.030058714
700,186,0.8725,400 300 600,0.814946712
300,186,0.875,400 400 300,0.645567807
500,186,0.88625,400 400 300,1.092528165
700,186,0.8775,400 400 300,1.092519617
300,186,0.885,400 400 400,1.086632038
500,186,0.87125,400 400 400,0.903975937
700,186,0.89125,400 400 400,0.873629212
300,186,0.87375,400 400 500,0.902521058
500,186,0.88125,400 400 500,0.642742718
700,186,0.88375,400 400 500,1.211504972
300,186,0.87375,400 400 600,0.999027107
500,186,0.88875,400 400 600,1.017296583
700,186,0.86125,400 400 600,1.161253672
300,186,0.88125,400 500 300,0.722081853
500,186,0.87125,400 500 300,1.074227973
700,186,0.85,400 500 300,0.801455675
300,186,0.86625,400 500 400,1.189915597
500,186,0.87625,400 500 400,1.0955123
700,186,0.87625,400 500 400,0.991032732
300,186,0.86125,400 500 500,0.621248043
500,186,0.88125,400 500 500,1.20573101
